name,clinic,reception_time,address,rating,num_reviews
Juri Betcher,Kleintierpraxis,"Heute: 09:00–12:00, 15:00–19:00Öffnet später","Steinkühlerweg 84, 44263 Dortmund",5,16.0
 Efrat Bahat-Treidel,Tierarztpraxis Treidel ,Heute: 09:30–13:00Öffnet später,"Hugo Cassirer Str.38 / Sigmund - Bergmann Str. 10, 13587 Berlin",5,15.0
Laura Broschek und Sven Stahlhut,Tierarztpraxis Am Westend,"Heute: 10:00–13:00, 17:00–19:00Öffnet später","Sophie-Charlotten-Str. 22, 14059 Berlin",5,15.0
Dr. Michael Foerster,,"Heute: 10:00–12:00, 17:00–19:00Öffnet später","Birkenstr. 58, 10559 Berlin",5,14.0
Jürgen Pötter und Eva Kirsch,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Kopernikusstr. 4a, 30167 Hannover",5,12.0
Dr. med. vet. Maria Steigmann,VetZentrum Praxis für Kleintiere,"Heute: 09:00–13:00, 15:00–20:00Öffnet später","Wentorfer Str. 101, 21029 Hamburg",5,12.0
Ragna Windisch,,"Heute: 09:00–15:00, 09:00–13:00Öffnet später","Berner Heerweg 110, 22159 Hamburg",5,12.0
Dr. Stephan Hesselmann,,"Heute: 09:00–12:00, 15:00–19:00Öffnet später","Kurfürstenstr. 134, 46147 Oberhausen",5,11.0
Hans-Jürgen Raqué,Tierarztpraxis,"Heute: 09:00–12:00, 15:00–18:00Öffnet später","Walter-Markov-Ring 5, 04288 Leipzig",5,11.0
Dr. Heike Janosch,,"Heute: 10:00–11:00, 16:00–18:00Öffnet später","Gottfried-Keller-Straße 4, 01157 Dresden",5,11.0
Rafael Melner-Biniszkiewicz,,"Heute: 11:00–12:00, 16:00–19:00Öffnet später","Weberstraße 21, 45879 Gelsenkirchen",5,11.0
Dr. Tido Winkler und Barbara Richter,,"Heute: 09:00–11:00, 15:00–18:00Öffnet später","Fritz-Meyer-Scharffenberg-Weg 12a, 18109 Rostock",5,11.0
Tim Glabasnia und Dr. Karin Glabasnia,,"Heute: 10:00–12:00, 16:00–18:30Öffnet später","Seehofstr. 45, 96052 Bamberg",5,10.0
Dr. Stefan Hauck,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Bedburger Weide 13, 47551 Bedburg-Hau",5,10.0
Dr. Siegfried Graf,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Kardinal-Wendel-Str. 13, 81929 München",5,10.0
"Dr. Claudia Kreutzjans, Dr. Natalie Thurek, Dr. Nadja Wilhelmi",Tierärztliche Praxis für Kleintiere,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Erinstr. 27, 44575 Castrop-Rauxel",5,10.0
Dr. Annemarie Leps,,"Heute: 08:30–12:30, 13:30–18:30Öffnet später","Mengeder Str. 17, 46731 Waltrop",5,10.0
Maceij E. Wilk,,"Heute: 09:00–13:00, 16:00–20:00Öffnet später","Hägerweg 12, 33613 Bielefeld",5,10.0
TÄ Juliane Kaftan und Anne Klötzer,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Loschwitzer Str. 3, 01309 Dresden",5,10.0
Dr. Cornelia Maul und Sabine Herget,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Schwarzstr. 3 (Eingang Lilienstr. am deutschen Museum), 81669 München",5,10.0
Oliviero Lombardi,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Britzer Damm 13, 12347 Berlin",5,10.0
Jens Cramer,Tierarztpraxis Cramer,"Heute: 09:00–10:00, 15:00–18:30Öffnet später","Osterfeuerberg 1, 27777 Ganderkesee",5,10.0
Dr. Frank Düsterhöft und Dr. Tanja Gerlach,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Kurt-Schumacher Allee 46, 30851 Langenhagen",5,10.0
